상품ID,카테고리명,상품명,가격,Image URL
1066278,옷장,샘베딩 퓨어 옷장 80cm (높이194cm) 서랍형,296780,https://image.hanssem.com/hsimg/gds/1050/1066/1066278_A1.jpg?v=20241029155035
843614,붙박이장,아트월 붙박이장 엔드판넬(EP)-2종/택1,115000,https://image.hanssem.com/hsimg/gds/550/843/843614_A1.jpg?v=20240402144159
647264,옷장,아임빅 슬라이딩 낮은옷장 120cm 행거형 6종,399000,https://image.hanssem.com/hsimg/gds/1050/647/647264_A1.jpg?v=20250611170423
1046941,옷장,아트월 루버옷장 소프트화이트 50cm(높이216cm),219760,https://image.hanssem.com/hsimg/gds/1050/1046/1046941_A1.jpg?v=20250519101039
1046974,옷장,아트월 거울옷장세트 머쉬룸그레이 대칭형 140cm~350cm(216cm) 16종,561600,https://image.hanssem.com/hsimg/gds/1050/1046/1046974_A1.jpg?v=20250702135001
1118504,붙박이장,(소진완료) 바이엘 슬라이딩 붙박이장 화이트 행거형(8.5자),1508000,https://image.hanssem.com/hsimg/gds/1050/1118/1118504_A1.jpg?v=20250916092439
274706,"옷장, 수납,서랍장",샘베딩 스테디 서랍장 5단 600 멀티형 2종,259900,https://image.hanssem.com/hsimg/gds/1050/274/274706_A1.jpg?v=20240808144445
743242,드레스룸,스테이 드레스룸 세트 208cm 하부수납형,447000,https://image.hanssem.com/hsimg/gds/1050/743/743242_A1.jpg?v=20240809105612
1118503,붙박이장,(소진완료) 바이엘 채널 붙박이장 화이트 행거형(10자),1249000,https://image.hanssem.com/hsimg/gds/1050/1118/1118503_A1.jpg?v=20250925141219
892141,"옷장, 드레스룸",샘베딩 드레스룸 40cm(높이 216cm) 2단행거형 2종,92900,https://image.hanssem.com/hsimg/gds/1050/892/892141_A1.jpg?v=20240809100407
1024490,붙박이장,[특가~9/29]아트월 거울 붙박이장 머쉬룸그레이 대칭형(행거형/선반형/서랍형),1166400,https://image.hanssem.com/hsimg/gds/1050/1024/1024490_A1.jpg?v=20250403145710
910239,옷장,[특가~9/29]샘베딩 마일드 옷장세트 160cm(높이216cm) 서랍형 2종,503800,https://image.hanssem.com/hsimg/gds/1050/910/910239_A1.jpg?v=20241127140104
1066320,옷장,[특가~9/29]샘베딩 무드 옷장세트 120cm(높이194cm),358430,https://image.hanssem.com/hsimg/gds/1050/1066/1066320_A1.jpg?v=20250717163009
1072408,옷장,[특가~9/29]샘베딩 스테디 옷장세트 120cm(높이194cm) 거울 멀티서랍장형,465800,https://image.hanssem.com/hsimg/gds/1050/1072/1072408_A1.jpg?v=20250717162742
1017794,"수납,서랍장",스테이 플러스 드레스룸 아일랜드 서랍장,548000,https://image.hanssem.com/hsimg/gds/1050/1017/1017794_A1.jpg?v=20240808112746
